id,text,author,source
1,"You have power over your mind, not outside events. Realize this, and you will find strength.",Marcus Aurelius,Meditations
2,The happiness of your life depends upon the quality of your thoughts.,Marcus Aurelius,Meditations
3,"If it is not right, do not do it; if it is not true, do not say it.",Marcus Aurelius,Meditations
4,"When you arise in the morning, think of what a precious privilege it is to be alive—to breathe, to think, to enjoy, to love.",Marcus Aurelius,Meditations
5,The best revenge is to be unlike him who performed the injury.,Marcus Aurelius,Meditations
6,Waste no more time arguing what a good person should be. Be one.,Marcus Aurelius,Meditations
7,Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.,Marcus Aurelius,Meditations
8,"Because a thing seems difficult for you, do not think it impossible for anyone to accomplish.",Marcus Aurelius,Meditations
9,The soul becomes dyed with the color of its thoughts.,Marcus Aurelius,Meditations
10,Nowhere can you find a quieter or more untroubled retreat than in your own soul.,Marcus Aurelius,Meditations
11,"Men are disturbed not by things, but by the views which they take of things.",Epictetus,Enchiridion
12,No person is free who is not master of themselves.,Epictetus,Discourses
13,First say to yourself what you would be; and then do what you have to do.,Epictetus,Discourses
14,"If you want to improve, be content to be thought foolish and stupid.",Epictetus,Discourses
15,Don't explain your philosophy. Embody it.,Epictetus,Enchiridion
16,It is difficulties that show what people are.,Epictetus,Discourses
17,Freedom is the right to live as we wish; nothing else.,Epictetus,Discourses
18,There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.,Epictetus,Enchiridion
19,"If a person gave your body to any stranger they met on their way, you would certainly be angry; and do you feel no shame in handing over your own mind to be puzzled and confounded by anyone who happens to verbally attack you?",Epictetus,Discourses
20,It is impossible for a person to begin to learn what they think they already know.,Epictetus,Discourses
21,Luck is what happens when preparation meets opportunity.,Seneca,Letters
22,We suffer more often in imagination than in reality.,Seneca,Letters
23,"It is not that we have a short time to live, but that we waste much of it.",Seneca,On the Shortness of Life
24,"Difficulties strengthen the mind, as labor does the body.",Seneca,Letters
25,"While we are postponing, life speeds by.",Seneca,Letters
26,Associate with those who will make you better.,Seneca,Letters
27,Throw me to the wolves and I will return leading the pack.,Seneca,attributed/letter tradition
28,"Begin at once to live, and count each separate day as a separate life.",Seneca,Letters
29,He who is brave is free.,Seneca,Letters
30,"True happiness is to enjoy the present, without anxious dependence upon the future.",Seneca,Letters
31,The journey of a thousand miles begins with a single step.,Lao Tzu,Tao Te Ching
32,He who conquers others is strong; he who conquers himself is mighty.,Lao Tzu,Tao Te Ching
33,"Nature does not hurry, yet everything is accomplished.",Lao Tzu,Tao Te Ching
34,Silence is a source of great strength.,Lao Tzu,Tao Te Ching
35,Knowing others is intelligence; knowing yourself is true wisdom.,Lao Tzu,Tao Te Ching
36,"When I let go of what I am, I become what I might be.",Lao Tzu,Tao Te Ching
37,"To the mind that is still, the whole universe surrenders.",Lao Tzu,Tao Te Ching
38,A good traveler has no fixed plans and is not intent on arriving.,Lao Tzu,Tao Te Ching
39,"I have just three things to teach: simplicity, patience, compassion.",Lao Tzu,Tao Te Ching
40,Respond intelligently even to unintelligent treatment.,Lao Tzu,Tao Te Ching
41,All that we are is the result of what we have thought.,Buddha,Dhammapada
42,Hatred is never appeased by hatred in this world; by non-hatred alone is hatred appeased.,Buddha,Dhammapada
43,Better than a thousand hollow words is one word that brings peace.,Buddha,Dhammapada
44,No one saves us but ourselves. We must walk the path.,Buddha,Dhammapada
45,A disciplined mind brings happiness.,Buddha,Dhammapada
46,The mind is difficult to control; a trained mind brings happiness.,Buddha,Dhammapada
47,"As a solid rock is not shaken by the wind, so the wise are not moved by praise or blame.",Buddha,Dhammapada
48,Purity and impurity depend on oneself; no one can purify another.,Buddha,Dhammapada
49,"To live a pure unselfish life, one must count nothing as one's own.",Buddha,Dhammapada
50,"If you light a lamp for someone else, it will also brighten your path.",Buddha,Dhammapada/attributed
51,It does not matter how slowly you go as long as you do not stop.,Confucius,Analects
52,"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,attributed
53,The man who moves a mountain begins by carrying away small stones.,Confucius,Analects
54,"When we see people of worth, we should think of equaling them; when we see people of a contrary character, we should turn inwards and examine ourselves.",Confucius,Analects
55,The cautious seldom err.,Confucius,Analects
56,"Wherever you go, go with all your heart.",Confucius,attributed
57,Real knowledge is to know the extent of one's ignorance.,Confucius,Analects
58,He who learns but does not think is lost; he who thinks but does not learn is in great danger.,Confucius,Analects
59,To see what is right and not do it is want of courage.,Confucius,Analects
60,The expectations of life depend upon diligence; the mechanic that would perfect their work must first sharpen their tools.,Confucius,attributed
61,"You have a right to action, but not to the fruits of action.",Bhagavad Gita,2.47
62,"For one who has conquered the mind, the mind is the best of friends; for one who has failed, the mind will be the greatest enemy.",Bhagavad Gita,6.6
63,"Set thy heart upon thy work, but never on its reward.",Bhagavad Gita,2.47
64,"Let your actions be pure, for your actions become your destiny.",Bhagavad Gita,attributed
65,"When meditation is mastered, the mind is unwavering like the flame of a lamp in a windless place.",Bhagavad Gita,6.19
66,Perform your duty and abandon attachment to success and failure.,Bhagavad Gita,2.48
67,"One becomes what one believes; as one's faith, so one is.",Bhagavad Gita,17.3
68,"Better one's own duty, though imperfect, than another's duty well performed.",Bhagavad Gita,3.35
69,From attachment springs desire; from desire springs anger.,Bhagavad Gita,2.62
70,"The self is a friend for one who has conquered the self; for one who has not, the self remains an enemy.",Bhagavad Gita,6.6
71,"Fall seven times, stand up eight.",Japanese Proverb,Proverb
72,A journey of a thousand miles begins with a single step.,Chinese Proverb,Proverb
73,The bamboo that bends is stronger than the oak that resists.,Japanese Proverb,Proverb
74,"When the winds of change blow, some build walls, others build windmills.",Chinese Proverb,Proverb
75,"Little by little, one travels far.",Tanzanian Proverb,Proverb
76,The person who moves a mountain begins by carrying away small stones.,Chinese Proverb,Proverb
77,After the storm comes the calm.,Latin Proverb,Proverb
78,The obstacle is the path.,Zen Proverb,Proverb
79,"He who asks is a fool for five minutes, but he who does not ask remains a fool forever.",Chinese Proverb,Proverb
80,"A reed before the wind lives on, while mighty oaks do fall.",French Proverb,Proverb
81,"What we think, we become.",Buddha,attributed
82,The unexamined life is not worth living.,Socrates,Apology/Plato
83,"Be kind, for everyone you meet is fighting a hard battle.",attributed,Traditional
84,Well begun is half done.,Aristotle,attributed
85,Knowing yourself is the beginning of all wisdom.,Aristotle,attributed
86,I count him braver who overcomes his desires than him who conquers his enemies.,Aristotle,Nicomachean Ethics
87,No one can make you feel inferior without your consent.,Eleanor Roosevelt,attributed/public speeches
88,"To err is human; to forgive, divine.",Alexander Pope,An Essay on Criticism
89,He who has a why to live can bear almost any how.,Friedrich Nietzsche,Twilight of the Idols
90,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",Will Durant (summary of Aristotle),The Story of Philosophy
91,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",Rumi,attributed
92,What you seek is seeking you.,Rumi,attributed
93,The wound is the place where the Light enters you.,Rumi,attributed
94,Let yourself be silently drawn by the strange pull of what you really love.,Rumi,attributed
95,The garden of love is green without limit and yields many fruits other than sorrow or joy.,Rumi,attributed
96,"It is not the man who has too little, but the man who craves more, that is poor.",Seneca,Letters
97,"Dwell on the beauty of life. Watch the stars, and see yourself running with them.",Marcus Aurelius,Meditations
98,The things you think about determine the quality of your mind.,Marcus Aurelius,Meditations
99,How long are you going to wait before you demand the best of yourself?,Epictetus,Discourses
100,To be even-minded is the greatest virtue.,Heraclitus,Fragments
